Date	Value
01.01.2015	58,4
02.01.2015	58,7
03.01.2015	58,4
05.01.2015	57,8
06.01.2015	56,5
07.01.2015	55,6
08.01.2015	55,6
09.01.2015	55,6
10.01.2015	55,5
12.01.2015	55,2
13.01.2015	53,6
14.01.2015	53,3
15.01.2015	53,9
16.01.2015	54,9
17.01.2015	55,3
19.01.2015	55,3
20.01.2015	54,9
21.01.2015	54,9
22.01.2015	55
23.01.2015	56,4
24.01.2015	56,9
26.01.2015	56,7
27.01.2015	56,7
28.01.2015	56,6
29.01.2015	56,6
30.01.2015	56,5
02.02.2015	58,1
03.02.2015	60,5
04.02.2015	62,1
05.02.2015	60,3
06.02.2015	61,9
09.02.2015	62,9
10.02.2015	63,9
11.02.2015	63,4
12.02.2015	62,9
13.02.2015	64,1
16.02.2015	65,5
17.02.2015	66,3
18.02.2015	65,8
19.02.2015	64,2
20.02.2015	64,6
23.02.2015	64,9
24.02.2015	64,5
25.02.2015	64,3
26.02.2015	65,4
27.02.2015	65,5
28.02.2015	65,8
02.03.2015	65,8
03.03.2015	64,8
04.03.2015	65
05.03.2015	65,2
06.03.2015	65,3
09.03.2015	65,4
10.03.2015	65,4
11.03.2015	64,8
12.03.2015	65,3
13.03.2015	64,1
16.03.2015	62,1
17.03.2015	61,7
18.03.2015	60,9
19.03.2015	61,9
20.03.2015	61,7
23.03.2015	61,4
24.03.2015	61,5
25.03.2015	61,1
26.03.2015	62,2
27.03.2015	63
28.03.2015	62,9
30.03.2015	62,3
31.03.2015	62,4
01.04.2015	61,8
02.04.2015	62,6
04.04.2015	61,9
07.04.2015	62
08.04.2015	62,9
09.04.2015	61,9
10.04.2015	62,4
13.04.2015	63,2
14.04.2015	64,2
15.04.2015	64,3
16.04.2015	65,4
17.04.2015	65,6
18.04.2015	65,5
20.04.2015	65,9
21.04.2015	65,5
22.04.2015	64,6
23.04.2015	65,2
24.04.2015	66
27.04.2015	66,1
28.04.2015	65,5
29.04.2015	65,3
30.04.2015	65,5
02.05.2015	65,5
04.05.2015	66
05.05.2015	66,2
06.05.2015	66,9
07.05.2015	66,1
08.05.2015	65,4
11.05.2015	65,5
12.05.2015	65,2
13.05.2015	66,3
14.05.2015	66
15.05.2015	65,8
18.05.2015	65,9
19.05.2015	66
20.05.2015	65,7
21.05.2015	65,8
22.05.2015	66,4
23.05.2015	66,3
26.05.2015	66,8
27.05.2015	66
28.05.2015	64,9
29.05.2015	65
30.05.2015	65,2
01.06.2015	66,1
02.06.2015	66
03.06.2015	65,3
04.06.2015	64,2
05.06.2015	63,5
06.06.2015	63
08.06.2015	63,4
09.06.2015	62,9
10.06.2015	64,2
11.06.2015	64,4
12.06.2015	64,2
15.06.2015	63,4
16.06.2015	63,3
17.06.2015	63,1
18.06.2015	63,3
19.06.2015	63,4
20.06.2015	63
22.06.2015	62,5
23.06.2015	62,8
24.06.2015	63,8
25.06.2015	63,4
26.06.2015	63,4
29.06.2015	63,6
30.06.2015	63,1
01.07.2015	63,5
02.07.2015	63,2
03.07.2015	63
06.07.2015	62,3
07.07.2015	60,8
08.07.2015	60,3
09.07.2015	60,9
10.07.2015	61,4
13.07.2015	60,7
14.07.2015	61
15.07.2015	61,5
16.07.2015	61,1
17.07.2015	60,6
20.07.2015	60,3
21.07.2015	59,9
22.07.2015	59,7
23.07.2015	59,7
24.07.2015	59,3
27.07.2015	58,7
28.07.2015	57,6
29.07.2015	57,7
30.07.2015	58
31.07.2015	58,6
03.08.2015	58
04.08.2015	57
05.08.2015	57,7
06.08.2015	57
07.08.2015	57,1
10.08.2015	56,7
11.08.2015	57,7
12.08.2015	56,8
13.08.2015	57,5
14.08.2015	56,7
15.08.2015	56,7
17.08.2015	56,6
18.08.2015	56,6
19.08.2015	56,7
20.08.2015	55,5
21.08.2015	54,5
22.08.2015	54
24.08.2015	53
25.08.2015	52,3
26.08.2015	53,1
27.08.2015	53,4
28.08.2015	56,3
29.08.2015	57,4
31.08.2015	57,6
01.09.2015	59,4
02.09.2015	57,8
03.09.2015	58,3
04.09.2015	58,8
07.09.2015	58,3
08.09.2015	57,7
09.09.2015	58,5
10.09.2015	57,4
11.09.2015	58
14.09.2015	57,4
15.09.2015	56,4
16.09.2015	56,3
17.09.2015	57,3
18.09.2015	56,6
21.09.2015	56,3
22.09.2015	56,8
23.09.2015	57
24.09.2015	57
25.09.2015	57,3
26.09.2015	57,4
28.09.2015	57,1
29.09.2015	56,2
30.09.2015	56,4
01.10.2015	57,3
02.10.2015	56,8
05.10.2015	56,6
06.10.2015	57,1
07.10.2015	58,6
08.10.2015	57,7
09.10.2015	58,4
10.10.2015	58,1
12.10.2015	58
13.10.2015	56,2
14.10.2015	55
15.10.2015	55,1
16.10.2015	55,9
17.10.2015	56
19.10.2015	55,9
20.10.2015	55,3
21.10.2015	54,8
22.10.2015	54,7
23.10.2015	55,6
24.10.2015	55,5
26.10.2015	55,4
27.10.2015	54,8
28.10.2015	54,5
29.10.2015	56
30.10.2015	56,2
31.10.2015	56,5
02.11.2015	56,7
03.11.2015	56,8
04.11.2015	58,3
05.11.2015	56,8
06.11.2015	56,4
07.11.2015	56,8
09.11.2015	57,4
10.11.2015	57,2
11.11.2015	57,2
12.11.2015	56,5
13.11.2015	54,7
16.11.2015	54,7
17.11.2015	54,8
18.11.2015	54,6
19.11.2015	54,6
20.11.2015	54,1
21.11.2015	54,1
23.11.2015	53,8
24.11.2015	54,4
25.11.2015	54,8
26.11.2015	54,8
27.11.2015	54
28.11.2015	54
30.11.2015	53,7
01.12.2015	52,9
02.12.2015	52,1
03.12.2015	51
04.12.2015	51
05.12.2015	51
07.12.2015	50,5
08.12.2015	49,1
09.12.2015	48,8
10.12.2015	48,2
11.12.2015	47,6
12.12.2015	46,6
14.12.2015	45,6
15.12.2015	45,3
16.12.2015	46,1
17.12.2015	45,8
18.12.2015	46
19.12.2015	46
21.12.2015	45,6
22.12.2015	45,6
23.12.2015	45,4
24.12.2015	45,9
28.12.2015	45,9
29.12.2015	45,5
29.12.2015	45,6
30.12.2015	45,8
31.12.2015	45,5
