Date	Value
01.01.2025	99,9
02.01.2025	100,5
03.01.2025	102,7
04.01.2025	102,4
06.01.2025	102,2
07.01.2025	101,7
08.01.2025	102,2
09.01.2025	101,6
10.01.2025	102,5
11.01.2025	103,7
13.01.2025	105,6
14.01.2025	105,9
15.01.2025	105,7
16.01.2025	106,6
17.01.2025	106,7
18.01.2025	106,3
20.01.2025	106,2
21.01.2025	104,7
22.01.2025	103,8
23.01.2025	102,8
24.01.2025	102,4
25.01.2025	102,4
27.01.2025	102,1
28.01.2025	101,8
29.01.2025	101,1
30.01.2025	100,7
31.01.2025	101,3
01.02.2025	101,3
03.02.2025	103
04.02.2025	101,9
05.02.2025	102,3
06.02.2025	101,2
07.02.2025	101,4
08.02.2025	101,4
10.02.2025	101,9
11.02.2025	102,6
12.02.2025	103,1
13.02.2025	101,3
14.02.2025	101,6
15.02.2025	101,3
17.02.2025	101,3
18.02.2025	101,6
19.02.2025	102
20.02.2025	102,3
21.02.2025	102,3
22.02.2025	101,8
24.02.2025	101
25.02.2025	101,5
26.02.2025	100,4
27.02.2025	99,4
28.02.2025	100,3
01.03.2025	100,1
03.03.2025	99,9
04.03.2025	98,5
05.03.2025	97,8
06.03.2025	96,6
07.03.2025	96,2
08.03.2025	96,4
10.03.2025	95,9
11.03.2025	95,4
12.03.2025	95,4
13.03.2025	95,1
14.03.2025	94,8
15.03.2025	94,8
17.03.2025	95,2
18.03.2025	95,3
19.03.2025	94,6
20.03.2025	95,3
21.03.2025	96
22.03.2025	96
24.03.2025	96,1
25.03.2025	96,4
26.03.2025	96,9
27.03.2025	97,1
28.03.2025	97
29.03.2025	96,7
31.03.2025	96,4
01.04.2025	97,5
02.04.2025	97,3
03.04.2025	96,1
04.04.2025	94,1
05.04.2025	93,2
07.04.2025	92,2
08.04.2025	93,2
09.04.2025	91,6
10.04.2025	93,7
11.04.2025	92,7
12.04.2025	92,4
14.04.2025	92,8
15.04.2025	93,3
16.04.2025	92,9
17.04.2025	93,5
19.04.2025	94,1
21.04.2025	93,6
22.04.2025	93,5
23.04.2025	94,5
24.04.2025	93,5
25.04.2025	93,8
28.04.2025	93,9
29.04.2025	93,1
30.04.2025	92,1
01.05.2025	91,9
02.05.2025	91,9
03.05.2025	91,2
05.05.2025	90
06.05.2025	90,7
07.05.2025	90,9
08.05.2025	90,4
09.05.2025	91,8
10.05.2025	91,8
12.05.2025	92,2
13.05.2025	92,6
14.05.2025	93,2
15.05.2025	92,8
16.05.2025	92,6
17.05.2025	92,6
19.05.2025	92,4
20.05.2025	92
21.05.2025	92
22.05.2025	91,5
23.05.2025	90,9
24.05.2025	90,7
26.05.2025	90,7
27.05.2025	90,4
28.05.2025	90,5
29.05.2025	90,9
30.05.2025	90,1
31.05.2025	90,1
02.06.2025	90,4
03.06.2025	90,6
04.06.2025	91,4
05.06.2025	90,6
06.06.2025	90,7
07.06.2025	91
09.06.2025	91
10.06.2025	92,3
11.06.2025	91,9
12.06.2025	92,9
13.06.2025	95,8
14.06.2025	97,5
16.06.2025	99,2
17.06.2025	99,2
18.06.2025	101,7
19.06.2025	102,9
20.06.2025	103,7
21.06.2025	103,7
23.06.2025	105,6
24.06.2025	99,6
25.06.2025	96,8
26.06.2025	95,8
27.06.2025	96
28.06.2025	95
30.06.2025	94,2
01.07.2025	94,2
