Date	Value
02.01.2024	107,2
03.01.2024	108,6
04.01.2024	107,6
05.01.2024	108,8
06.01.2024	108
07.01.2024	107,6
09.01.2024	107,2
10.01.2024	106,3
11.01.2024	106,7
12.01.2024	105,6
13.01.2024	106,9
14.01.2024	106,5
16.01.2024	106,2
17.01.2024	106,8
18.01.2024	106,5
19.01.2024	106,9
20.01.2024	107,2
21.01.2024	106,8
23.01.2024	106,2
24.01.2024	107,2
25.01.2024	107,1
26.01.2024	107,2
27.01.2024	108,8
28.01.2024	109
30.01.2024	110,1
31.01.2024	110
01.02.2024	109,1
02.02.2024	109,2
03.02.2024	107,2
04.02.2024	106,5
06.02.2024	106,6
07.02.2024	107,4
08.02.2024	107,8
09.02.2024	108,9
10.02.2024	109,8
11.02.2024	110,8
13.02.2024	111
14.02.2024	111
15.02.2024	109,9
16.02.2024	107,9
17.02.2024	108,4
18.02.2024	108,1
20.02.2024	107,9
21.02.2024	108,3
22.02.2024	107,7
23.02.2024	106,7
24.02.2024	106,3
25.02.2024	105,9
27.02.2024	105
28.02.2024	106,3
29.02.2024	106
01.03.2024	104,9
02.03.2024	105,5
03.03.2024	105,8
05.03.2024	106,3
06.03.2024	104,9
07.03.2024	104,4
08.03.2024	104,9
09.03.2024	105,5
10.03.2024	105
12.03.2024	104
13.03.2024	104,3
14.03.2024	104,1
15.03.2024	104,4
16.03.2024	105,4
17.03.2024	104,9
19.03.2024	106
20.03.2024	106,6
21.03.2024	106,2
22.03.2024	104,7
23.03.2024	104,4
24.03.2024	104,5
26.03.2024	104,5
27.03.2024	104,9
28.03.2024	104,1
29.03.2024	104,7
31.03.2024	105,1
02.04.2024	105,4
03.04.2024	105,9
04.04.2024	107,9
05.04.2024	108,9
06.04.2024	109,6
07.04.2024	109,6
09.04.2024	108,5
10.04.2024	108,7
11.04.2024	107,2
12.04.2024	108
13.04.2024	107,5
14.04.2024	107,5
15.04.2024	108,5
16.04.2024	108,1
17.04.2024	107
18.04.2024	105,2
19.04.2024	105,5
20.04.2024	104,4
22.04.2024	103,8
23.04.2024	104,4
24.04.2024	104,2
25.04.2024	103,9
26.04.2024	104,1
27.04.2024	104,1
29.04.2024	103,6
30.04.2024	103,5
01.05.2024	103,3
02.05.2024	102,2
03.05.2024	101,7
04.05.2024	101,1
06.05.2024	101,2
07.05.2024	101,4
08.05.2024	101,1
09.05.2024	101,4
10.05.2024	102,1
11.05.2024	101,6
13.05.2024	100,8
14.05.2024	101
15.05.2024	100,6
16.05.2024	100,4
17.05.2024	101
20.05.2024	101,5
21.05.2024	101,3
22.05.2024	100,8
23.05.2024	99,5
24.05.2024	99,2
25.05.2024	99,2
27.05.2024	99,5
28.05.2024	100
29.05.2024	100,9
30.05.2024	100,5
31.05.2024	99,3
01.06.2024	98,9
03.06.2024	98,4
04.06.2024	96,5
05.06.2024	96,5
06.06.2024	97,1
07.06.2024	98,1
08.06.2024	98,1
10.06.2024	99
11.06.2024	100,1
12.06.2024	101,3
13.06.2024	101
14.06.2024	102,2
15.06.2024	102,9
17.06.2024	102,6
18.06.2024	103
19.06.2024	104,1
20.06.2024	104,5
21.06.2024	104,3
23.06.2024	103,9
24.06.2024	103,6
25.06.2024	104,1
26.06.2024	103,8
27.06.2024	104
28.06.2024	104,9
29.06.2024	104,2
01.07.2024	104,2
02.07.2024	105
03.07.2024	105,1
04.07.2024	104,3
05.07.2024	103,9
06.07.2024	103,9
08.07.2024	103,1
09.07.2024	102,6
10.07.2024	101,8
11.07.2024	102,3
12.07.2024	101,6
13.07.2024	101,6
15.07.2024	101,1
16.07.2024	100,9
17.07.2024	99,8
18.07.2024	100,4
19.07.2024	100
20.07.2024	99,7
22.07.2024	99,2
