Date	Value
01.01.2014	83,2
02.01.2014	83,4
03.01.2014	82,2
04.01.2014	81,7
06.01.2014	81,7
07.01.2014	81,5
08.01.2014	81,6
09.01.2014	81,5
10.01.2014	80,9
11.01.2014	80,5
13.01.2014	80,7
14.01.2014	80,7
15.01.2014	80,5
16.01.2014	81,2
17.01.2014	80,7
19.01.2014	81
20.01.2014	81,1
21.01.2014	81,3
22.01.2014	81,6
23.01.2014	82
24.01.2014	81,5
25.01.2014	81,1
27.01.2014	81,2
28.01.2014	80,9
29.01.2014	81,4
30.01.2014	81,7
31.01.2014	82,2
02.02.2014	82,2
03.02.2014	81,6
04.02.2014	81,1
05.02.2014	81,3
06.02.2014	81,3
07.02.2014	81,4
08.02.2014	82
10.02.2014	82,1
11.02.2014	81,6
12.02.2014	81,6
13.02.2014	81,4
14.02.2014	81,2
15.02.2014	81,2
17.02.2014	81,4
18.02.2014	81,4
19.02.2014	81,8
20.02.2014	81,7
21.02.2014	81,9
22.02.2014	81,5
24.02.2014	81,5
25.02.2014	81,6
26.02.2014	80,9
27.02.2014	81,2
28.02.2014	80,7
01.03.2014	80,4
03.03.2014	81,3
04.03.2014	81,4
05.03.2014	81,2
06.03.2014	80,4
07.03.2014	79,7
08.03.2014	79,9
10.03.2014	79,7
11.03.2014	79,7
12.03.2014	79,8
13.03.2014	79,3
14.03.2014	79,1
15.03.2014	79,5
17.03.2014	79,6
18.03.2014	79,2
19.03.2014	79,2
20.03.2014	79,4
21.03.2014	80
22.03.2014	80,3
24.03.2014	80,2
25.03.2014	80
26.03.2014	80,5
27.03.2014	80,5
28.03.2014	81
29.03.2014	81,3
31.03.2014	81,4
01.04.2014	81,2
02.04.2014	80,1
03.04.2014	79,5
04.04.2014	80,4
05.04.2014	80,6
07.04.2014	80,2
08.04.2014	80,1
09.04.2014	80,4
10.04.2014	80,4
11.04.2014	80
12.04.2014	79,8
14.04.2014	80,5
15.04.2014	81,1
16.04.2014	81,3
17.04.2014	81,4
18.04.2014	81,5
19.04.2014	81,5
22.04.2014	81,7
23.04.2014	81
24.04.2014	80,8
25.04.2014	81,2
26.04.2014	80,9
28.04.2014	80,9
29.04.2014	79,9
30.04.2014	80,3
01.05.2014	79,8
02.05.2014	79,6
03.05.2014	79,8
