Date	Value
01.01.2023	127
02.01.2023	127
03.01.2023	127,1
04.01.2023	126,9
05.01.2023	124,2
06.01.2023	120,3
07.01.2023	119,5
08.01.2023	118,9
10.01.2023	119,1
11.01.2023	117,6
12.01.2023	117,2
13.01.2023	117,8
14.01.2023	117,6
15.01.2023	117,6
17.01.2023	117,6
18.01.2023	117,3
19.01.2023	118,3
20.01.2023	117
21.01.2023	118,4
22.01.2023	119,2
24.01.2023	119,2
25.01.2023	120,3
26.01.2023	119,3
27.01.2023	117,6
28.01.2023	119,1
29.01.2023	118
31.01.2023	115,1
01.02.2023	112,8
02.02.2023	113,1
03.02.2023	110,8
04.02.2023	108,5
05.02.2023	106,5
07.02.2023	106
08.02.2023	105,4
09.02.2023	107
10.02.2023	107,5
11.02.2023	106,9
12.02.2023	107,6
14.02.2023	107,3
15.02.2023	108,1
16.02.2023	108,2
17.02.2023	107,9
18.02.2023	106,5
19.02.2023	105
21.02.2023	105,4
22.02.2023	105
23.02.2023	105,2
24.02.2023	104,5
25.02.2023	104,4
26.02.2023	104,9
28.02.2023	105,1
01.03.2023	106,6
02.03.2023	107
03.03.2023	107,6
04.03.2023	108,2
05.03.2023	108,4
07.03.2023	108,2
08.03.2023	108
09.03.2023	107
10.03.2023	105,7
11.03.2023	104
12.03.2023	104,2
14.03.2023	104,5
15.03.2023	103,5
16.03.2023	103,2
17.03.2023	101,6
18.03.2023	100,9
19.03.2023	101,8
21.03.2023	100,1
22.03.2023	101,1
23.03.2023	101,4
24.03.2023	101,5
25.03.2023	101,6
26.03.2023	101,5
28.03.2023	101,2
29.03.2023	102,1
30.03.2023	101,7
31.03.2023	100
01.04.2023	99,8
02.04.2023	99,8
04.04.2023	102,7
05.04.2023	102,7
06.04.2023	102,2
07.04.2023	102,5
08.04.2023	102,5
09.04.2023	102,4
11.04.2023	102,4
12.04.2023	102,3
13.04.2023	102,1
14.04.2023	101,9
15.04.2023	101,1
16.04.2023	99,9
18.04.2023	99,9
19.04.2023	99,5
20.04.2023	98,8
21.04.2023	97,8
22.04.2023	96,7
23.04.2023	95,9
25.04.2023	95,6
26.04.2023	96,3
27.04.2023	95,8
28.04.2023	94
29.04.2023	93,2
30.04.2023	92,9
02.05.2023	92,9
03.05.2023	93,2
04.05.2023	91,9
05.05.2023	89,3
06.05.2023	89,4
07.05.2023	89,9
09.05.2023	91
10.05.2023	92
11.05.2023	92,3
12.05.2023	93
13.05.2023	91,2
14.05.2023	90,9
16.05.2023	90,3
17.05.2023	91,4
18.05.2023	91,4
19.05.2023	92,5
20.05.2023	92,8
21.05.2023	92,8
23.05.2023	91,8
24.05.2023	92,2
25.05.2023	92,5
26.05.2023	93,1
27.05.2023	92,1
28.05.2023	92,3
30.05.2023	92,3
31.05.2023	92
01.06.2023	91
02.06.2023	90,6
03.06.2023	91,6
04.06.2023	92,2
06.06.2023	92,7
07.06.2023	93,1
08.06.2023	92,7
09.06.2023	93,5
10.06.2023	92,8
11.06.2023	92,5
13.06.2023	91,7
14.06.2023	90,6
15.06.2023	92,3
16.06.2023	91,8
17.06.2023	93,1
18.06.2023	94,6
20.06.2023	94,6
21.06.2023	95
22.06.2023	94,7
23.06.2023	95,4
24.06.2023	93,4
25.06.2023	93,2
27.06.2023	93,3
28.06.2023	93,9
29.06.2023	92,5
30.06.2023	92,1
01.07.2023	92,5
02.07.2023	92,7
04.07.2023	92,7
05.07.2023	92,2
06.07.2023	92,9
07.07.2023	94,2
08.07.2023	94,3
09.07.2023	94,7
11.07.2023	94,7
12.07.2023	94,6
13.07.2023	94,9
14.07.2023	94,7
15.07.2023	94,3
16.07.2023	94,2
18.07.2023	93,8
19.07.2023	93,4
20.07.2023	94
21.07.2023	94,5
22.07.2023	95,4
23.07.2023	96,4
25.07.2023	97,2
26.07.2023	98,4
27.07.2023	98,2
28.07.2023	99,7
29.07.2023	101,5
30.07.2023	103
01.08.2023	103,3
02.08.2023	105
