Date	Value
01.01.2018	62,4
02.01.2018	63,6
03.01.2018	63
04.01.2018	64
05.01.2018	63,7
06.01.2018	63,5
08.01.2018	63,4
09.01.2018	63,7
10.01.2018	64,4
11.01.2018	64,4
12.01.2018	63,9
13.01.2018	63,8
15.01.2018	63,7
16.01.2018	63,6
17.01.2018	63,1
18.01.2018	63,1
19.01.2018	62,5
20.01.2018	62,4
22.01.2018	62,6
23.01.2018	62,9
24.01.2018	63,1
25.01.2018	63,5
26.01.2018	63,3
27.01.2018	63,3
29.01.2018	63,5
30.01.2018	62,6
31.01.2018	61,9
01.02.2018	62,1
02.02.2018	62,6
03.02.2018	62,5
05.02.2018	61,5
06.02.2018	60,9
07.02.2018	61,3
08.02.2018	60
09.02.2018	59,5
10.02.2018	59,3
12.02.2018	58,5
13.02.2018	58,1
14.02.2018	57,6
15.02.2018	58,6
16.02.2018	58,4
17.02.2018	58,6
19.02.2018	59,7
20.02.2018	60
21.02.2018	59,9
22.02.2018	60,3
23.02.2018	61
24.02.2018	61,2
26.02.2018	61,8
27.02.2018	62,4
28.02.2018	62,2
01.03.2018	61,1
02.03.2018	60,3
03.03.2018	60,2
05.03.2018	60,5
06.03.2018	60,8
07.03.2018	60,5
08.03.2018	60,3
09.03.2018	60,4
10.03.2018	60,6
12.03.2018	61
13.03.2018	60,6
14.03.2018	60,3
15.03.2018	60,6
16.03.2018	61
17.03.2018	61
19.03.2018	61,5
20.03.2018	61,8
21.03.2018	62,6
22.03.2018	63,9
23.03.2018	63,9
24.03.2018	63,9
26.03.2018	63,9
27.03.2018	63,8
28.03.2018	63,7
29.03.2018	64
30.03.2018	64
31.03.2018	64
02.04.2018	63,9
03.04.2018	63,4
04.04.2018	63,6
05.04.2018	63,6
06.04.2018	63,3
07.04.2018	63,2
09.04.2018	63
10.04.2018	63,8
11.04.2018	64,6
12.04.2018	65,7
13.04.2018	65,6
14.04.2018	65,6
16.04.2018	65,5
17.04.2018	65
18.04.2018	64,5
19.04.2018	65,3
20.04.2018	65,5
21.04.2018	65,4
23.04.2018	65,8
24.04.2018	66,5
25.04.2018	65,8
26.04.2018	66,3
27.04.2018	66,6
28.04.2018	66,8
