Date	Value
01.01.2017	60,4
02.01.2017	60,7
03.01.2017	61,4
04.01.2017	60,6
05.01.2017	60,1
06.01.2017	60,1
07.01.2017	60,2
09.01.2017	60,3
10.01.2017	58,9
11.01.2017	58,2
12.01.2017	59
13.01.2017	59,5
14.01.2017	59
16.01.2017	58,8
17.01.2017	58,7
18.01.2017	58,5
19.01.2017	57,8
20.01.2017	57,8
21.01.2017	57,9
23.01.2017	58,3
24.01.2017	58,3
25.01.2017	58,5
26.01.2017	58,7
27.01.2017	59,6
28.01.2017	59,4
30.01.2017	58,7
31.01.2017	58,9
01.02.2017	58,9
02.02.2017	59,7
03.02.2017	59,8
04.02.2017	59,7
06.02.2017	60
07.02.2017	59,3
08.02.2017	59
09.02.2017	59,5
10.02.2017	59,7
11.02.2017	60
13.02.2017	60,1
14.02.2017	59,6
15.02.2017	59,6
16.02.2017	59,6
17.02.2017	59,4
18.02.2017	59,4
20.02.2017	59,8
21.02.2017	60
22.02.2017	60,2
23.02.2017	60
24.02.2017	60,2
25.02.2017	60,1
27.02.2017	60,3
28.02.2017	60,1
01.03.2017	60,2
02.03.2017	60
03.03.2017	59,2
04.03.2017	59,2
06.03.2017	59,2
07.03.2017	59,5
08.03.2017	59,4
09.03.2017	58,3
10.03.2017	57,1
11.03.2017	57
13.03.2017	56
14.03.2017	55,8
15.03.2017	56,1
16.03.2017	56,1
17.03.2017	55,5
18.03.2017	55,5
20.03.2017	55,4
21.03.2017	55,8
22.03.2017	54,8
23.03.2017	54,9
24.03.2017	54,8
25.03.2017	54,7
27.03.2017	54,5
28.03.2017	54,8
29.03.2017	55,3
30.03.2017	56,3
31.03.2017	56,9
01.04.2017	57,1
03.04.2017	57,4
04.04.2017	57,3
05.04.2017	58,5
06.04.2017	58,3
07.04.2017	59,1
08.04.2017	59,1
10.04.2017	59,2
11.04.2017	59,5
12.04.2017	59,8
13.04.2017	59,4
14.04.2017	59,4
15.04.2017	59,4
18.04.2017	59,1
19.04.2017	58,5
20.04.2017	57,6
21.04.2017	57,4
22.04.2017	57,2
24.04.2017	56,4
25.04.2017	56
26.04.2017	55,8
27.04.2017	55,7
28.04.2017	55,6
29.04.2017	55,4
01.05.2017	55
02.05.2017	54,4
03.05.2017	54,2
04.05.2017	54,1
05.05.2017	51,9
06.05.2017	52,8
08.05.2017	53,3
09.05.2017	53,5
10.05.2017	53,5
11.05.2017	54,9
12.05.2017	55,3
13.05.2017	55,3
15.05.2017	55,7
16.05.2017	55,7
17.05.2017	55,1
18.05.2017	55,3
19.05.2017	56
20.05.2017	56,2
22.05.2017	56,4
23.05.2017	56,2
24.05.2017	56,9
26.05.2017	55,2
27.05.2017	55,2
29.05.2017	55,4
30.05.2017	55,4
31.05.2017	54,9
01.06.2017	53,9
02.06.2017	53,4
03.06.2017	53
05.06.2017	53
06.06.2017	52,6
07.06.2017	52,6
08.06.2017	52
09.06.2017	51,8
