Date	Value
01.01.2021	57
02.01.2021	57
04.01.2021	58
05.01.2021	56,7
06.01.2021	57,8
07.01.2021	57,9
08.01.2021	58
09.01.2021	58,2
11.01.2021	58,3
12.01.2021	58,8
13.01.2021	59,3
14.01.2021	59,1
15.01.2021	59
16.01.2021	58,7
18.01.2021	58,5
19.01.2021	58,4
20.01.2021	58,6
21.01.2021	58,4
22.01.2021	57,9
23.01.2021	57,4
25.01.2021	57,4
26.01.2021	57,6
27.01.2021	57,8
28.01.2021	57,7
29.01.2021	57,7
30.01.2021	57,7
01.02.2021	57,7
02.02.2021	58,7
03.02.2021	59,4
04.02.2021	60
05.02.2021	60,4
06.02.2021	60,5
08.02.2021	60,6
09.02.2021	61,6
10.02.2021	61,5
11.02.2021	61,9
12.02.2021	62
13.02.2021	62,5
15.02.2021	63,4
16.02.2021	64,4
17.02.2021	64,6
18.02.2021	65,3
19.02.2021	64,9
20.02.2021	64,8
22.02.2021	64,9
23.02.2021	65,9
24.02.2021	65,5
25.02.2021	66,3
26.02.2021	65,9
27.02.2021	65,7
01.03.2021	65,9
02.03.2021	64,5
03.03.2021	64,7
04.03.2021	65,3
05.03.2021	67,4
06.03.2021	67,8
08.03.2021	68,8
09.03.2021	68,2
10.03.2021	67,3
11.03.2021	67,5
12.03.2021	67,9
13.03.2021	68
15.03.2021	68,3
16.03.2021	67,5
17.03.2021	67,6
18.03.2021	66,8
19.03.2021	64,5
20.03.2021	64,5
22.03.2021	65
23.03.2021	64,8
24.03.2021	64
25.03.2021	64,6
26.03.2021	64,2
27.03.2021	64,5
29.03.2021	64,5
30.03.2021	64,8
31.03.2021	64,8
01.04.2021	64
02.04.2021	64
05.04.2021	64
06.04.2021	63,7
07.04.2021	63,6
08.04.2021	63,6
09.04.2021	63,8
10.04.2021	63,6
12.04.2021	63,7
13.04.2021	64,1
14.04.2021	64,3
15.04.2021	65,5
16.04.2021	66
17.04.2021	66
19.04.2021	65,8
20.04.2021	65,8
21.04.2021	65,2
22.04.2021	64,7
23.04.2021	65,1
24.04.2021	65,1
26.04.2021	64,8
27.04.2021	65,3
28.04.2021	65,5
29.04.2021	66
30.04.2021	66,3
01.05.2021	66,1
03.05.2021	65,7
04.05.2021	66,3
05.05.2021	67,4
06.05.2021	67,5
07.05.2021	67,1
08.05.2021	67
10.05.2021	67,4
11.05.2021	67,1
12.05.2021	67,6
13.05.2021	67,6
14.05.2021	66,8
15.05.2021	67
17.05.2021	67,4
18.05.2021	67,9
19.05.2021	67,2
20.05.2021	66,9
21.05.2021	66,1
22.05.2021	66,1
24.05.2021	66,2
25.05.2021	67,6
26.05.2021	67,6
27.05.2021	67,8
28.05.2021	68,2
29.05.2021	68,2
31.05.2021	67,9
01.06.2021	68,4
02.06.2021	68,9
03.06.2021	69,5
04.06.2021	69,6
05.06.2021	69,7
07.06.2021	69,5
08.06.2021	69,2
09.06.2021	69,8
10.06.2021	69,5
11.06.2021	69,8
12.06.2021	69,8
14.06.2021	70,1
15.06.2021	70,2
16.06.2021	70,8
17.06.2021	71,3
18.06.2021	70,5
19.06.2021	70,5
21.06.2021	71,2
22.06.2021	71,7
23.06.2021	72,1
24.06.2021	72,2
25.06.2021	72,1
26.06.2021	72,2
28.06.2021	72,3
29.06.2021	71,5
30.06.2021	71,8
01.07.2021	72
02.07.2021	72,5
03.07.2021	72,5
05.07.2021	72,9
06.07.2021	73,4
07.07.2021	72,3
08.07.2021	71,8
09.07.2021	72,2
10.07.2021	72,4
12.07.2021	72,7
13.07.2021	72,8
14.07.2021	73,5
15.07.2021	72,3
16.07.2021	72,2
17.07.2021	72,2
19.07.2021	71,9
20.07.2021	69,8
21.07.2021	70,1
22.07.2021	71,3
23.07.2021	72,2
24.07.2021	72,5
26.07.2021	72
27.07.2021	72,6
28.07.2021	72,4
29.07.2021	72,4
30.07.2021	72,6
31.07.2021	72,6
02.08.2021	72,5
03.08.2021	71,7
04.08.2021	71,6
05.08.2021	70,6
06.08.2021	71,2
07.08.2021	71
09.08.2021	70,2
10.08.2021	70,4
11.08.2021	71
12.08.2021	71,5
13.08.2021	71,2
16.08.2021	70,4
17.08.2021	70,3
18.08.2021	70,4
19.08.2021	69,5
20.08.2021	69,3
21.08.2021	69
23.08.2021	69
24.08.2021	70,3
25.08.2021	71,1
26.08.2021	71,9
27.08.2021	72,2
28.08.2021	72,3
30.08.2021	72,6
31.08.2021	72,8
01.09.2021	73
02.09.2021	72,7
03.09.2021	73,5
04.09.2021	73,5
06.09.2021	72,7
07.09.2021	73
08.09.2021	72,7
09.09.2021	72,8
10.09.2021	72,6
11.09.2021	72,8
13.09.2021	73,6
14.09.2021	74,2
