Date	Value
01.01.2016	45,5
02.01.2016	45,8
04.01.2016	46,1
05.01.2016	45,9
06.01.2016	46
07.01.2016	44
08.01.2016	44,3
09.01.2016	43,3
11.01.2016	42,5
12.01.2016	41,4
13.01.2016	41,6
14.01.2016	40,6
15.01.2016	40,7
16.01.2016	40
18.01.2016	39,4
19.01.2016	39,7
20.01.2016	38,5
21.01.2016	37,9
22.01.2016	39,6
23.01.2016	41,5
25.01.2016	41,8
26.01.2016	39,9
27.01.2016	40,4
28.01.2016	41,4
29.01.2016	42,5
30.01.2016	42,6
01.02.2016	42,6
02.02.2016	41,6
03.02.2016	40,9
04.02.2016	42,2
05.02.2016	41,7
06.02.2016	41,6
08.02.2016	41,6
09.02.2016	41
10.02.2016	39,2
11.02.2016	39
12.02.2016	39,9
13.02.2016	40,6
15.02.2016	41,2
16.02.2016	42,1
17.02.2016	40,9
18.02.2016	42,6
19.02.2016	42,4
20.02.2016	42
22.02.2016	41,6
23.02.2016	42
24.02.2016	41,3
25.02.2016	42
26.02.2016	42,5
27.02.2016	42,9
29.02.2016	42,9
01.03.2016	43,8
02.03.2016	43,8
03.03.2016	44,1
04.03.2016	44,3
05.03.2016	44,6
07.03.2016	45,3
08.03.2016	46,4
09.03.2016	46,4
10.03.2016	46,9
11.03.2016	46,7
12.03.2016	46,7
14.03.2016	46,4
15.03.2016	45,9
16.03.2016	45,8
17.03.2016	46,6
18.03.2016	46,8
19.03.2016	46,7
21.03.2016	46,5
22.03.2016	46,8
23.03.2016	46,9
24.03.2016	45,9
26.03.2016	45,8
29.03.2016	45,3
30.03.2016	44,8
31.03.2016	44,4
01.04.2016	44,6
02.04.2016	44,3
04.04.2016	43,2
05.04.2016	42,2
06.04.2016	42,4
07.04.2016	43,5
08.04.2016	43,5
09.04.2016	44
11.04.2016	44,5
12.04.2016	45
13.04.2016	46,3
14.04.2016	46,1
15.04.2016	46,4
18.04.2016	44,7
19.04.2016	45,7
20.04.2016	45,6
21.04.2016	47,7
22.04.2016	47,5
23.04.2016	47,5
25.04.2016	47,3
26.04.2016	47,3
27.04.2016	48,3
28.04.2016	48,8
29.04.2016	49,5
30.04.2016	49,5
02.05.2016	48,7
03.05.2016	48,4
04.05.2016	47,6
06.05.2016	47,6
07.05.2016	47,5
09.05.2016	48
10.05.2016	46,9
11.05.2016	47,5
12.05.2016	48,7
13.05.2016	49,1
14.05.2016	49,2
17.05.2016	50,4
18.05.2016	51,1
19.05.2016	50,9
20.05.2016	51,4
21.05.2016	51,3
23.05.2016	51,3
24.05.2016	51,3
25.05.2016	52,3
26.05.2016	52,5
27.05.2016	52,2
28.05.2016	52,2
30.05.2016	52,3
31.05.2016	52,6
01.06.2016	52,3
02.06.2016	52,3
03.06.2016	52,4
04.06.2016	52,2
06.06.2016	51,7
07.06.2016	51,6
08.06.2016	52,2
09.06.2016	52,7
10.06.2016	52,3
13.06.2016	51,8
14.06.2016	51,6
15.06.2016	51,3
16.06.2016	50,5
17.06.2016	50,1
20.06.2016	50,8
21.06.2016	51,3
22.06.2016	51,7
23.06.2016	51
24.06.2016	50,7
25.06.2016	50,6
27.06.2016	50,7
28.06.2016	50,2
29.06.2016	50,8
30.06.2016	51,4
01.07.2016	50,9
04.07.2016	51,2
05.07.2016	50,5
06.07.2016	49,9
07.07.2016	50,5
08.07.2016	49,2
11.07.2016	49,1
12.07.2016	49,1
13.07.2016	49,7
14.07.2016	48,4
15.07.2016	48,4
18.07.2016	48,9
19.07.2016	48
20.07.2016	48,5
21.07.2016	49
22.07.2016	48,3
25.07.2016	48,3
26.07.2016	47,5
27.07.2016	47,3
28.07.2016	46,6
29.07.2016	46,1
01.08.2016	46,1
02.08.2016	44,7
03.08.2016	44,8
04.08.2016	45,8
05.08.2016	46,4
08.08.2016	46,9
09.08.2016	47,5
10.08.2016	47,5
11.08.2016	47,2
12.08.2016	48,9
13.08.2016	49
15.08.2016	49,5
16.08.2016	50
17.08.2016	50,1
18.08.2016	50,9
19.08.2016	51,8
20.08.2016	51,8
22.08.2016	51,6
23.08.2016	50,8
24.08.2016	51,1
25.08.2016	51,1
26.08.2016	51,5
29.08.2016	51,5
30.08.2016	51,6
31.08.2016	51,1
01.09.2016	50
02.09.2016	49,2
05.09.2016	49,3
06.09.2016	50,1
07.09.2016	49,8
08.09.2016	50
09.09.2016	50,5
12.09.2016	49,5
13.09.2016	50
14.09.2016	49,7
15.09.2016	48,7
16.09.2016	48,8
19.09.2016	49
20.09.2016	48,9
21.09.2016	49
22.09.2016	49,8
23.09.2016	50,1
26.09.2016	49,5
27.09.2016	50
28.09.2016	49,2
29.09.2016	51
30.09.2016	52
03.10.2016	52,5
04.10.2016	53,1
05.10.2016	53,5
06.10.2016	54
07.10.2016	55
10.10.2016	54,2
11.10.2016	55,7
12.10.2016	55,7
13.10.2016	55,2
14.10.2016	55,6
17.10.2016	55,9
18.10.2016	56
19.10.2016	56,3
20.10.2016	56,5
21.10.2016	56,3
22.10.2016	56,3
22.10.2016	56,3
24.10.2016	56,5
25.10.2016	56,4
26.10.2016	55,7
27.10.2016	55,6
28.10.2016	56,1
29.10.2016	55,8
31.10.2016	55,5
01.11.2016	54,7
02.11.2016	53,4
03.11.2016	52,3
04.11.2016	52,2
05.11.2016	51,8
07.11.2016	52
08.11.2016	52
09.11.2016	50,5
10.11.2016	52,1
11.11.2016	52
14.11.2016	51,4
15.11.2016	51,4
16.11.2016	52,7
17.11.2016	52,4
18.11.2016	52,8
21.11.2016	53,6
22.11.2016	55
23.11.2016	54,8
24.11.2016	55
25.11.2016	54,6
26.11.2016	54,2
28.11.2016	53,3
29.11.2016	54,4
30.11.2016	53,3
01.12.2016	56,1
02.12.2016	57,8
03.12.2016	57,8
05.12.2016	58,3
06.12.2016	58
07.12.2016	57,7
08.12.2016	56,9
09.12.2016	57,9
10.12.2016	58,3
12.12.2016	59,9
13.12.2016	59,3
14.12.2016	58,8
15.12.2016	58,8
16.12.2016	59
17.12.2016	59,4
19.12.2016	59,8
20.12.2016	59,7
